uf,municipio,data_referencia,ano,mes,total_violencia_grave,homicidio_doloso,latrocinio,tentativa_homicidio,lesao_corporal_seguida_morte,feminicidio
SC,GRAO-PARA,2020-11-01,2020,11,1,0,0,1,0,0
SC,GRAO-PARA,2020-12-01,2020,12,2,0,0,2,0,0
SC,GRAO-PARA,2021-01-01,2021,1,0,0,0,0,0,0
SC,GRAO-PARA,2021-02-01,2021,2,0,0,0,0,0,0
SC,GRAO-PARA,2021-03-01,2021,3,0,0,0,0,0,0
SC,GRAO-PARA,2021-04-01,2021,4,1,1,0,0,0,0
SC,GRAO-PARA,2021-05-01,2021,5,0,0,0,0,0,0
SC,GRAO-PARA,2021-06-01,2021,6,0,0,0,0,0,0
SC,GRAO-PARA,2021-07-01,2021,7,0,0,0,0,0,0
SC,GRAO-PARA,2021-08-01,2021,8,0,0,0,0,0,0
SC,GRAO-PARA,2021-09-01,2021,9,0,0,0,0,0,0
SC,GRAO-PARA,2021-10-01,2021,10,0,0,0,0,0,0
SC,GRAO-PARA,2021-11-01,2021,11,0,0,0,0,0,0
SC,GRAO-PARA,2021-12-01,2021,12,0,0,0,0,0,0
SC,GRAO-PARA,2022-01-01,2022,1,0,0,0,0,0,0
SC,GRAO-PARA,2022-02-01,2022,2,0,0,0,0,0,0
SC,GRAO-PARA,2022-03-01,2022,3,1,0,0,1,0,0
SC,GRAO-PARA,2022-04-01,2022,4,0,0,0,0,0,0
SC,GRAO-PARA,2022-05-01,2022,5,1,1,0,0,0,0
SC,GRAO-PARA,2022-06-01,2022,6,0,0,0,0,0,0
SC,GRAO-PARA,2022-07-01,2022,7,1,0,0,1,0,0
SC,GRAO-PARA,2022-08-01,2022,8,0,0,0,0,0,0
SC,GRAO-PARA,2022-09-01,2022,9,0,0,0,0,0,0
SC,GRAO-PARA,2022-10-01,2022,10,0,0,0,0,0,0
SC,GRAO-PARA,2022-11-01,2022,11,0,0,0,0,0,0
SC,GRAO-PARA,2022-12-01,2022,12,0,0,0,0,0,0
SC,GRAO-PARA,2023-01-01,2023,1,0,0,0,0,0,0
SC,GRAO-PARA,2023-02-01,2023,2,0,0,0,0,0,0
SC,GRAO-PARA,2023-03-01,2023,3,0,0,0,0,0,0
SC,GRAO-PARA,2023-04-01,2023,4,0,0,0,0,0,0
SC,GRAO-PARA,2023-05-01,2023,5,0,0,0,0,0,0
SC,GRAO-PARA,2023-06-01,2023,6,0,0,0,0,0,0
SC,GRAO-PARA,2023-07-01,2023,7,1,0,0,1,0,0
SC,GRAO-PARA,2023-08-01,2023,8,0,0,0,0,0,0
SC,GRAO-PARA,2023-09-01,2023,9,1,0,0,1,0,0
SC,GRAO-PARA,2023-10-01,2023,10,2,0,0,2,0,0
SC,GRAO-PARA,2023-11-01,2023,11,1,0,0,1,0,0
SC,GRAO-PARA,2023-12-01,2023,12,0,0,0,0,0,0
SC,GRAO-PARA,2024-01-01,2024,1,1,0,0,1,0,0
SC,GRAO-PARA,2024-02-01,2024,2,0,0,0,0,0,0
SC,GRAO-PARA,2024-03-01,2024,3,1,0,0,1,0,0
SC,GRAO-PARA,2024-04-01,2024,4,0,0,0,0,0,0
SC,GRAO-PARA,2024-05-01,2024,5,0,0,0,0,0,0
SC,GRAO-PARA,2024-06-01,2024,6,0,0,0,0,0,0
SC,GRAO-PARA,2024-07-01,2024,7,0,0,0,0,0,0
SC,GRAO-PARA,2024-08-01,2024,8,0,0,0,0,0,0
SC,GRAO-PARA,2024-09-01,2024,9,0,0,0,0,0,0
SC,GRAO-PARA,2024-10-01,2024,10,0,0,0,0,0,0
SC,GRAO-PARA,2024-11-01,2024,11,0,0,0,0,0,0
SC,GRAO-PARA,2024-12-01,2024,12,0,0,0,0,0,0
SC,GRAO-PARA,2025-01-01,2025,1,0,0,0,0,0,0
SC,GRAO-PARA,2025-02-01,2025,2,0,0,0,0,0,0
SC,GRAO-PARA,2025-03-01,2025,3,0,0,0,0,0,0
SC,GRAO-PARA,2025-04-01,2025,4,0,0,0,0,0,0
SC,GRAO-PARA,2025-05-01,2025,5,0,0,0,0,0,0
SC,GRAO-PARA,2025-06-01,2025,6,0,0,0,0,0,0
SC,GRAO-PARA,2025-07-01,2025,7,0,0,0,0,0,0
SC,GRAO-PARA,2025-08-01,2025,8,0,0,0,0,0,0
SC,GRAO-PARA,2025-09-01,2025,9,0,0,0,0,0,0
SC,GRAO-PARA,2025-10-01,2025,10,0,0,0,0,0,0
SC,GRAO-PARA,2025-11-01,2025,11,0,0,0,0,0,0
SC,GRAO-PARA,2025-12-01,2025,12,0,0,0,0,0,0
SC,GRAVATAL,2015-01-01,2015,1,0,0,0,0,0,0
SC,GRAVATAL,2015-02-01,2015,2,0,0,0,0,0,0
SC,GRAVATAL,2015-03-01,2015,3,0,0,0,0,0,0
SC,GRAVATAL,2015-04-01,2015,4,0,0,0,0,0,0
SC,GRAVATAL,2015-05-01,2015,5,0,0,0,0,0,0
SC,GRAVATAL,2015-06-01,2015,6,0,0,0,0,0,0
SC,GRAVATAL,2015-07-01,2015,7,0,0,0,0,0,0
SC,GRAVATAL,2015-08-01,2015,8,0,0,0,0,0,0
SC,GRAVATAL,2015-09-01,2015,9,0,0,0,0,0,0
SC,GRAVATAL,2015-10-01,2015,10,0,0,0,0,0,0
SC,GRAVATAL,2015-11-01,2015,11,0,0,0,0,0,0
SC,GRAVATAL,2015-12-01,2015,12,1,0,0,1,0,0
SC,GRAVATAL,2016-01-01,2016,1,0,0,0,0,0,0
SC,GRAVATAL,2016-02-01,2016,2,0,0,0,0,0,0
SC,GRAVATAL,2016-03-01,2016,3,0,0,0,0,0,0
SC,GRAVATAL,2016-04-01,2016,4,0,0,0,0,0,0
SC,GRAVATAL,2016-05-01,2016,5,0,0,0,0,0,0
SC,GRAVATAL,2016-06-01,2016,6,0,0,0,0,0,0
SC,GRAVATAL,2016-07-01,2016,7,0,0,0,0,0,0
SC,GRAVATAL,2016-08-01,2016,8,0,0,0,0,0,0
SC,GRAVATAL,2016-09-01,2016,9,0,0,0,0,0,0
SC,GRAVATAL,2016-10-01,2016,10,0,0,0,0,0,0
SC,GRAVATAL,2016-11-01,2016,11,0,0,0,0,0,0
SC,GRAVATAL,2016-12-01,2016,12,0,0,0,0,0,0
SC,GRAVATAL,2017-01-01,2017,1,0,0,0,0,0,0
SC,GRAVATAL,2017-02-01,2017,2,0,0,0,0,0,0
SC,GRAVATAL,2017-03-01,2017,3,0,0,0,0,0,0
SC,GRAVATAL,2017-04-01,2017,4,0,0,0,0,0,0
SC,GRAVATAL,2017-05-01,2017,5,0,0,0,0,0,0
SC,GRAVATAL,2017-06-01,2017,6,0,0,0,0,0,0
SC,GRAVATAL,2017-07-01,2017,7,0,0,0,0,0,0
SC,GRAVATAL,2017-08-01,2017,8,0,0,0,0,0,0
SC,GRAVATAL,2017-09-01,2017,9,0,0,0,0,0,0
SC,GRAVATAL,2017-10-01,2017,10,0,0,0,0,0,0
SC,GRAVATAL,2017-11-01,2017,11,0,0,0,0,0,0
SC,GRAVATAL,2017-12-01,2017,12,0,0,0,0,0,0
SC,GRAVATAL,2018-01-01,2018,1,1,0,0,1,0,0
SC,GRAVATAL,2018-02-01,2018,2,0,0,0,0,0,0
SC,GRAVATAL,2018-03-01,2018,3,0,0,0,0,0,0
SC,GRAVATAL,2018-04-01,2018,4,0,0,0,0,0,0
SC,GRAVATAL,2018-05-01,2018,5,0,0,0,0,0,0
SC,GRAVATAL,2018-06-01,2018,6,0,0,0,0,0,0
SC,GRAVATAL,2018-07-01,2018,7,0,0,0,0,0,0
SC,GRAVATAL,2018-08-01,2018,8,0,0,0,0,0,0
SC,GRAVATAL,2018-09-01,2018,9,0,0,0,0,0,0
SC,GRAVATAL,2018-10-01,2018,10,0,0,0,0,0,0
SC,GRAVATAL,2018-11-01,2018,11,0,0,0,0,0,0
SC,GRAVATAL,2018-12-01,2018,12,0,0,0,0,0,0
SC,GRAVATAL,2019-01-01,2019,1,0,0,0,0,0,0
SC,GRAVATAL,2019-02-01,2019,2,0,0,0,0,0,0
SC,GRAVATAL,2019-03-01,2019,3,0,0,0,0,0,0
SC,GRAVATAL,2019-04-01,2019,4,0,0,0,0,0,0
SC,GRAVATAL,2019-05-01,2019,5,0,0,0,0,0,0
SC,GRAVATAL,2019-06-01,2019,6,0,0,0,0,0,0
SC,GRAVATAL,2019-07-01,2019,7,0,0,0,0,0,0
SC,GRAVATAL,2019-08-01,2019,8,0,0,0,0,0,0
SC,GRAVATAL,2019-09-01,2019,9,0,0,0,0,0,0
SC,GRAVATAL,2019-10-01,2019,10,0,0,0,0,0,0
SC,GRAVATAL,2019-11-01,2019,11,1,1,0,0,0,0
SC,GRAVATAL,2019-12-01,2019,12,0,0,0,0,0,0
SC,GRAVATAL,2020-01-01,2020,1,0,0,0,0,0,0
SC,GRAVATAL,2020-02-01,2020,2,0,0,0,0,0,0
SC,GRAVATAL,2020-03-01,2020,3,0,0,0,0,0,0
SC,GRAVATAL,2020-04-01,2020,4,0,0,0,0,0,0
SC,GRAVATAL,2020-05-01,2020,5,1,0,0,1,0,0
SC,GRAVATAL,2020-06-01,2020,6,0,0,0,0,0,0
SC,GRAVATAL,2020-07-01,2020,7,0,0,0,0,0,0
SC,GRAVATAL,2020-08-01,2020,8,2,0,0,2,0,0
SC,GRAVATAL,2020-09-01,2020,9,0,0,0,0,0,0
SC,GRAVATAL,2020-10-01,2020,10,0,0,0,0,0,0
SC,GRAVATAL,2020-11-01,2020,11,0,0,0,0,0,0
SC,GRAVATAL,2020-12-01,2020,12,0,0,0,0,0,0
SC,GRAVATAL,2021-01-01,2021,1,0,0,0,0,0,0
SC,GRAVATAL,2021-02-01,2021,2,0,0,0,0,0,0
SC,GRAVATAL,2021-03-01,2021,3,0,0,0,0,0,0
SC,GRAVATAL,2021-04-01,2021,4,0,0,0,0,0,0
SC,GRAVATAL,2021-05-01,2021,5,0,0,0,0,0,0
SC,GRAVATAL,2021-06-01,2021,6,0,0,0,0,0,0
SC,GRAVATAL,2021-07-01,2021,7,1,0,0,1,0,0
SC,GRAVATAL,2021-08-01,2021,8,0,0,0,0,0,0
SC,GRAVATAL,2021-09-01,2021,9,0,0,0,0,0,0
SC,GRAVATAL,2021-10-01,2021,10,0,0,0,0,0,0
SC,GRAVATAL,2021-11-01,2021,11,0,0,0,0,0,0
SC,GRAVATAL,2021-12-01,2021,12,0,0,0,0,0,0
SC,GRAVATAL,2022-01-01,2022,1,0,0,0,0,0,0
SC,GRAVATAL,2022-02-01,2022,2,0,0,0,0,0,0
SC,GRAVATAL,2022-03-01,2022,3,0,0,0,0,0,0
SC,GRAVATAL,2022-04-01,2022,4,0,0,0,0,0,0
SC,GRAVATAL,2022-05-01,2022,5,0,0,0,0,0,0
SC,GRAVATAL,2022-06-01,2022,6,0,0,0,0,0,0
SC,GRAVATAL,2022-07-01,2022,7,0,0,0,0,0,0
SC,GRAVATAL,2022-08-01,2022,8,0,0,0,0,0,0
SC,GRAVATAL,2022-09-01,2022,9,0,0,0,0,0,0
SC,GRAVATAL,2022-10-01,2022,10,0,0,0,0,0,0
SC,GRAVATAL,2022-11-01,2022,11,0,0,0,0,0,0
SC,GRAVATAL,2022-12-01,2022,12,0,0,0,0,0,0
SC,GRAVATAL,2023-01-01,2023,1,0,0,0,0,0,0
SC,GRAVATAL,2023-02-01,2023,2,0,0,0,0,0,0
SC,GRAVATAL,2023-03-01,2023,3,0,0,0,0,0,0
SC,GRAVATAL,2023-04-01,2023,4,0,0,0,0,0,0
SC,GRAVATAL,2023-05-01,2023,5,0,0,0,0,0,0
SC,GRAVATAL,2023-06-01,2023,6,0,0,0,0,0,0
SC,GRAVATAL,2023-07-01,2023,7,2,0,0,2,0,0
SC,GRAVATAL,2023-08-01,2023,8,0,0,0,0,0,0
SC,GRAVATAL,2023-09-01,2023,9,1,0,0,1,0,0
SC,GRAVATAL,2023-10-01,2023,10,0,0,0,0,0,0
SC,GRAVATAL,2023-11-01,2023,11,0,0,0,0,0,0
SC,GRAVATAL,2023-12-01,2023,12,2,1,0,1,0,0
SC,GRAVATAL,2024-01-01,2024,1,0,0,0,0,0,0
SC,GRAVATAL,2024-02-01,2024,2,0,0,0,0,0,0
SC,GRAVATAL,2024-03-01,2024,3,0,0,0,0,0,0
SC,GRAVATAL,2024-04-01,2024,4,1,0,0,1,0,0
SC,GRAVATAL,2024-05-01,2024,5,0,0,0,0,0,0
SC,GRAVATAL,2024-06-01,2024,6,0,0,0,0,0,0
SC,GRAVATAL,2024-07-01,2024,7,0,0,0,0,0,0
SC,GRAVATAL,2024-08-01,2024,8,0,0,0,0,0,0
SC,GRAVATAL,2024-09-01,2024,9,1,1,0,0,0,0
SC,GRAVATAL,2024-10-01,2024,10,0,0,0,0,0,0
SC,GRAVATAL,2024-11-01,2024,11,0,0,0,0,0,0
SC,GRAVATAL,2024-12-01,2024,12,0,0,0,0,0,0
SC,GRAVATAL,2025-01-01,2025,1,0,0,0,0,0,0
SC,GRAVATAL,2025-02-01,2025,2,0,0,0,0,0,0
SC,GRAVATAL,2025-03-01,2025,3,1,1,0,0,0,0
SC,GRAVATAL,2025-04-01,2025,4,0,0,0,0,0,0
SC,GRAVATAL,2025-05-01,2025,5,0,0,0,0,0,0
SC,GRAVATAL,2025-06-01,2025,6,0,0,0,0,0,0
SC,GRAVATAL,2025-07-01,2025,7,0,0,0,0,0,0
SC,GRAVATAL,2025-08-01,2025,8,0,0,0,0,0,0
SC,GRAVATAL,2025-09-01,2025,9,0,0,0,0,0,0
SC,GRAVATAL,2025-10-01,2025,10,0,0,0,0,0,0
SC,GRAVATAL,2025-11-01,2025,11,1,1,0,0,0,0
SC,GRAVATAL,2025-12-01,2025,12,1,0,0,1,0,0
SC,GUABIRUBA,2015-01-01,2015,1,0,0,0,0,0,0
SC,GUABIRUBA,2015-02-01,2015,2,0,0,0,0,0,0
SC,GUABIRUBA,2015-03-01,2015,3,0,0,0,0,0,0
SC,GUABIRUBA,2015-04-01,2015,4,0,0,0,0,0,0
SC,GUABIRUBA,2015-05-01,2015,5,0,0,0,0,0,0
SC,GUABIRUBA,2015-06-01,2015,6,0,0,0,0,0,0
SC,GUABIRUBA,2015-07-01,2015,7,0,0,0,0,0,0
SC,GUABIRUBA,2015-08-01,2015,8,0,0,0,0,0,0
SC,GUABIRUBA,2015-09-01,2015,9,0,0,0,0,0,0
SC,GUABIRUBA,2015-10-01,2015,10,0,0,0,0,0,0
SC,GUABIRUBA,2015-11-01,2015,11,0,0,0,0,0,0
SC,GUABIRUBA,2015-12-01,2015,12,0,0,0,0,0,0
SC,GUABIRUBA,2016-01-01,2016,1,0,0,0,0,0,0
SC,GUABIRUBA,2016-02-01,2016,2,0,0,0,0,0,0
SC,GUABIRUBA,2016-03-01,2016,3,2,0,0,2,0,0
SC,GUABIRUBA,2016-04-01,2016,4,0,0,0,0,0,0
SC,GUABIRUBA,2016-05-01,2016,5,0,0,0,0,0,0
SC,GUABIRUBA,2016-06-01,2016,6,0,0,0,0,0,0
SC,GUABIRUBA,2016-07-01,2016,7,0,0,0,0,0,0
SC,GUABIRUBA,2016-08-01,2016,8,0,0,0,0,0,0
SC,GUABIRUBA,2016-09-01,2016,9,1,0,0,1,0,0
SC,GUABIRUBA,2016-10-01,2016,10,0,0,0,0,0,0
SC,GUABIRUBA,2016-11-01,2016,11,0,0,0,0,0,0
SC,GUABIRUBA,2016-12-01,2016,12,0,0,0,0,0,0
SC,GUABIRUBA,2017-01-01,2017,1,0,0,0,0,0,0
SC,GUABIRUBA,2017-02-01,2017,2,0,0,0,0,0,0
SC,GUABIRUBA,2017-03-01,2017,3,0,0,0,0,0,0
SC,GUABIRUBA,2017-04-01,2017,4,0,0,0,0,0,0
SC,GUABIRUBA,2017-05-01,2017,5,1,1,0,0,0,0
SC,GUABIRUBA,2017-06-01,2017,6,0,0,0,0,0,0
SC,GUABIRUBA,2017-07-01,2017,7,0,0,0,0,0,0
SC,GUABIRUBA,2017-08-01,2017,8,0,0,0,0,0,0
SC,GUABIRUBA,2017-09-01,2017,9,1,0,1,0,0,0
SC,GUABIRUBA,2017-10-01,2017,10,0,0,0,0,0,0
SC,GUABIRUBA,2017-11-01,2017,11,0,0,0,0,0,0
SC,GUABIRUBA,2017-12-01,2017,12,0,0,0,0,0,0
SC,GUABIRUBA,2018-01-01,2018,1,0,0,0,0,0,0
SC,GUABIRUBA,2018-02-01,2018,2,0,0,0,0,0,0
SC,GUABIRUBA,2018-03-01,2018,3,2,1,0,1,0,0
SC,GUABIRUBA,2018-04-01,2018,4,0,0,0,0,0,0
SC,GUABIRUBA,2018-05-01,2018,5,0,0,0,0,0,0
SC,GUABIRUBA,2018-06-01,2018,6,0,0,0,0,0,0
SC,GUABIRUBA,2018-07-01,2018,7,0,0,0,0,0,0
SC,GUABIRUBA,2018-08-01,2018,8,0,0,0,0,0,0
SC,GUABIRUBA,2018-09-01,2018,9,1,0,0,1,0,0
SC,GUABIRUBA,2018-10-01,2018,10,0,0,0,0,0,0
SC,GUABIRUBA,2018-11-01,2018,11,1,1,0,0,0,0
SC,GUABIRUBA,2018-12-01,2018,12,0,0,0,0,0,0
SC,GUABIRUBA,2019-01-01,2019,1,0,0,0,0,0,0
SC,GUABIRUBA,2019-02-01,2019,2,2,0,0,2,0,0
SC,GUABIRUBA,2019-03-01,2019,3,0,0,0,0,0,0
SC,GUABIRUBA,2019-04-01,2019,4,0,0,0,0,0,0
SC,GUABIRUBA,2019-05-01,2019,5,0,0,0,0,0,0
SC,GUABIRUBA,2019-06-01,2019,6,0,0,0,0,0,0
SC,GUABIRUBA,2019-07-01,2019,7,0,0,0,0,0,0
SC,GUABIRUBA,2019-08-01,2019,8,0,0,0,0,0,0
SC,GUABIRUBA,2019-09-01,2019,9,0,0,0,0,0,0
SC,GUABIRUBA,2019-10-01,2019,10,1,0,0,1,0,0
SC,GUABIRUBA,2019-11-01,2019,11,0,0,0,0,0,0
SC,GUABIRUBA,2019-12-01,2019,12,0,0,0,0,0,0
SC,GUABIRUBA,2020-01-01,2020,1,0,0,0,0,0,0
SC,GUABIRUBA,2020-02-01,2020,2,0,0,0,0,0,0
SC,GUABIRUBA,2020-03-01,2020,3,0,0,0,0,0,0
SC,GUABIRUBA,2020-04-01,2020,4,0,0,0,0,0,0
SC,GUABIRUBA,2020-05-01,2020,5,0,0,0,0,0,0
SC,GUABIRUBA,2020-06-01,2020,6,0,0,0,0,0,0
SC,GUABIRUBA,2020-07-01,2020,7,0,0,0,0,0,0
SC,GUABIRUBA,2020-08-01,2020,8,0,0,0,0,0,0
SC,GUABIRUBA,2020-09-01,2020,9,0,0,0,0,0,0
SC,GUABIRUBA,2020-10-01,2020,10,0,0,0,0,0,0
SC,GUABIRUBA,2020-11-01,2020,11,0,0,0,0,0,0
SC,GUABIRUBA,2020-12-01,2020,12,0,0,0,0,0,0
SC,GUABIRUBA,2021-01-01,2021,1,0,0,0,0,0,0
SC,GUABIRUBA,2021-02-01,2021,2,0,0,0,0,0,0
SC,GUABIRUBA,2021-03-01,2021,3,1,0,0,1,0,0
SC,GUABIRUBA,2021-04-01,2021,4,0,0,0,0,0,0
SC,GUABIRUBA,2021-05-01,2021,5,0,0,0,0,0,0
SC,GUABIRUBA,2021-06-01,2021,6,0,0,0,0,0,0
SC,GUABIRUBA,2021-07-01,2021,7,0,0,0,0,0,0
SC,GUABIRUBA,2021-08-01,2021,8,1,0,0,1,0,0
SC,GUABIRUBA,2021-09-01,2021,9,0,0,0,0,0,0
SC,GUABIRUBA,2021-10-01,2021,10,0,0,0,0,0,0
SC,GUABIRUBA,2021-11-01,2021,11,0,0,0,0,0,0
SC,GUABIRUBA,2021-12-01,2021,12,1,0,0,1,0,0
SC,GUABIRUBA,2022-01-01,2022,1,1,1,0,0,0,0
SC,GUABIRUBA,2022-02-01,2022,2,0,0,0,0,0,0
SC,GUABIRUBA,2022-03-01,2022,3,0,0,0,0,0,0
SC,GUABIRUBA,2022-04-01,2022,4,0,0,0,0,0,0
SC,GUABIRUBA,2022-05-01,2022,5,0,0,0,0,0,0
SC,GUABIRUBA,2022-06-01,2022,6,0,0,0,0,0,0
SC,GUABIRUBA,2022-07-01,2022,7,1,0,0,1,0,0
SC,GUABIRUBA,2022-08-01,2022,8,0,0,0,0,0,0
SC,GUABIRUBA,2022-09-01,2022,9,0,0,0,0,0,0
SC,GUABIRUBA,2022-10-01,2022,10,0,0,0,0,0,0
SC,GUABIRUBA,2022-11-01,2022,11,0,0,0,0,0,0
SC,GUABIRUBA,2022-12-01,2022,12,1,0,0,1,0,0
SC,GUABIRUBA,2023-01-01,2023,1,0,0,0,0,0,0
SC,GUABIRUBA,2023-02-01,2023,2,0,0,0,0,0,0
SC,GUABIRUBA,2023-03-01,2023,3,2,1,0,1,0,0
SC,GUABIRUBA,2023-04-01,2023,4,0,0,0,0,0,0
SC,GUABIRUBA,2023-05-01,2023,5,0,0,0,0,0,0
SC,GUABIRUBA,2023-06-01,2023,6,0,0,0,0,0,0
SC,GUABIRUBA,2023-07-01,2023,7,0,0,0,0,0,0
SC,GUABIRUBA,2023-08-01,2023,8,0,0,0,0,0,0
SC,GUABIRUBA,2023-09-01,2023,9,0,0,0,0,0,0
SC,GUABIRUBA,2023-10-01,2023,10,0,0,0,0,0,0
SC,GUABIRUBA,2023-11-01,2023,11,0,0,0,0,0,0
SC,GUABIRUBA,2023-12-01,2023,12,1,0,0,1,0,0
SC,GUABIRUBA,2024-01-01,2024,1,0,0,0,0,0,0
SC,GUABIRUBA,2024-02-01,2024,2,0,0,0,0,0,0
SC,GUABIRUBA,2024-03-01,2024,3,0,0,0,0,0,0
SC,GUABIRUBA,2024-04-01,2024,4,0,0,0,0,0,0
SC,GUABIRUBA,2024-05-01,2024,5,0,0,0,0,0,0
SC,GUABIRUBA,2024-06-01,2024,6,0,0,0,0,0,0
SC,GUABIRUBA,2024-07-01,2024,7,0,0,0,0,0,0
SC,GUABIRUBA,2024-08-01,2024,8,1,1,0,0,0,0
SC,GUABIRUBA,2024-09-01,2024,9,0,0,0,0,0,0
SC,GUABIRUBA,2024-10-01,2024,10,0,0,0,0,0,0
SC,GUABIRUBA,2024-11-01,2024,11,0,0,0,0,0,0
SC,GUABIRUBA,2024-12-01,2024,12,2,0,0,2,0,0
SC,GUABIRUBA,2025-01-01,2025,1,0,0,0,0,0,0
SC,GUABIRUBA,2025-02-01,2025,2,0,0,0,0,0,0
SC,GUABIRUBA,2025-03-01,2025,3,0,0,0,0,0,0
SC,GUABIRUBA,2025-04-01,2025,4,0,0,0,0,0,0
SC,GUABIRUBA,2025-05-01,2025,5,0,0,0,0,0,0
SC,GUABIRUBA,2025-06-01,2025,6,0,0,0,0,0,0
SC,GUABIRUBA,2025-07-01,2025,7,0,0,0,0,0,0
SC,GUABIRUBA,2025-08-01,2025,8,0,0,0,0,0,0
SC,GUABIRUBA,2025-09-01,2025,9,0,0,0,0,0,0
SC,GUABIRUBA,2025-10-01,2025,10,0,0,0,0,0,0
SC,GUABIRUBA,2025-11-01,2025,11,0,0,0,0,0,0
SC,GUABIRUBA,2025-12-01,2025,12,0,0,0,0,0,0
SC,GUARACIABA,2015-01-01,2015,1,0,0,0,0,0,0
SC,GUARACIABA,2015-02-01,2015,2,1,1,0,0,0,0
SC,GUARACIABA,2015-03-01,2015,3,0,0,0,0,0,0
SC,GUARACIABA,2015-04-01,2015,4,0,0,0,0,0,0
SC,GUARACIABA,2015-05-01,2015,5,0,0,0,0,0,0
SC,GUARACIABA,2015-06-01,2015,6,0,0,0,0,0,0
SC,GUARACIABA,2015-07-01,2015,7,0,0,0,0,0,0
SC,GUARACIABA,2015-08-01,2015,8,0,0,0,0,0,0
SC,GUARACIABA,2015-09-01,2015,9,0,0,0,0,0,0
SC,GUARACIABA,2015-10-01,2015,10,0,0,0,0,0,0
SC,GUARACIABA,2015-11-01,2015,11,0,0,0,0,0,0
SC,GUARACIABA,2015-12-01,2015,12,0,0,0,0,0,0
SC,GUARACIABA,2016-01-01,2016,1,0,0,0,0,0,0
SC,GUARACIABA,2016-02-01,2016,2,0,0,0,0,0,0
SC,GUARACIABA,2016-03-01,2016,3,0,0,0,0,0,0
SC,GUARACIABA,2016-04-01,2016,4,0,0,0,0,0,0
SC,GUARACIABA,2016-05-01,2016,5,0,0,0,0,0,0
SC,GUARACIABA,2016-06-01,2016,6,0,0,0,0,0,0
SC,GUARACIABA,2016-07-01,2016,7,0,0,0,0,0,0
SC,GUARACIABA,2016-08-01,2016,8,0,0,0,0,0,0
SC,GUARACIABA,2016-09-01,2016,9,0,0,0,0,0,0
SC,GUARACIABA,2016-10-01,2016,10,0,0,0,0,0,0
SC,GUARACIABA,2016-11-01,2016,11,0,0,0,0,0,0
SC,GUARACIABA,2016-12-01,2016,12,0,0,0,0,0,0
SC,GUARACIABA,2017-01-01,2017,1,0,0,0,0,0,0
SC,GUARACIABA,2017-02-01,2017,2,0,0,0,0,0,0
SC,GUARACIABA,2017-03-01,2017,3,0,0,0,0,0,0
SC,GUARACIABA,2017-04-01,2017,4,0,0,0,0,0,0
SC,GUARACIABA,2017-05-01,2017,5,0,0,0,0,0,0
SC,GUARACIABA,2017-06-01,2017,6,0,0,0,0,0,0
SC,GUARACIABA,2017-07-01,2017,7,0,0,0,0,0,0
SC,GUARACIABA,2017-08-01,2017,8,0,0,0,0,0,0
SC,GUARACIABA,2017-09-01,2017,9,0,0,0,0,0,0
SC,GUARACIABA,2017-10-01,2017,10,0,0,0,0,0,0
SC,GUARACIABA,2017-11-01,2017,11,0,0,0,0,0,0
SC,GUARACIABA,2017-12-01,2017,12,1,0,0,1,0,0
SC,GUARACIABA,2018-01-01,2018,1,0,0,0,0,0,0
SC,GUARACIABA,2018-02-01,2018,2,0,0,0,0,0,0
SC,GUARACIABA,2018-03-01,2018,3,0,0,0,0,0,0
SC,GUARACIABA,2018-04-01,2018,4,0,0,0,0,0,0
SC,GUARACIABA,2018-05-01,2018,5,0,0,0,0,0,0
SC,GUARACIABA,2018-06-01,2018,6,0,0,0,0,0,0
SC,GUARACIABA,2018-07-01,2018,7,0,0,0,0,0,0
SC,GUARACIABA,2018-08-01,2018,8,1,1,0,0,0,0
SC,GUARACIABA,2018-09-01,2018,9,0,0,0,0,0,0
SC,GUARACIABA,2018-10-01,2018,10,0,0,0,0,0,0
SC,GUARACIABA,2018-11-01,2018,11,0,0,0,0,0,0
SC,GUARACIABA,2018-12-01,2018,12,0,0,0,0,0,0
SC,GUARACIABA,2019-01-01,2019,1,0,0,0,0,0,0
SC,GUARACIABA,2019-02-01,2019,2,0,0,0,0,0,0
SC,GUARACIABA,2019-03-01,2019,3,0,0,0,0,0,0
SC,GUARACIABA,2019-04-01,2019,4,0,0,0,0,0,0
SC,GUARACIABA,2019-05-01,2019,5,0,0,0,0,0,0
SC,GUARACIABA,2019-06-01,2019,6,0,0,0,0,0,0
SC,GUARACIABA,2019-07-01,2019,7,0,0,0,0,0,0
SC,GUARACIABA,2019-08-01,2019,8,0,0,0,0,0,0
SC,GUARACIABA,2019-09-01,2019,9,0,0,0,0,0,0
SC,GUARACIABA,2019-10-01,2019,10,0,0,0,0,0,0
SC,GUARACIABA,2019-11-01,2019,11,0,0,0,0,0,0
SC,GUARACIABA,2019-12-01,2019,12,2,0,0,2,0,0
SC,GUARACIABA,2020-01-01,2020,1,0,0,0,0,0,0
SC,GUARACIABA,2020-02-01,2020,2,0,0,0,0,0,0
SC,GUARACIABA,2020-03-01,2020,3,0,0,0,0,0,0
SC,GUARACIABA,2020-04-01,2020,4,0,0,0,0,0,0
SC,GUARACIABA,2020-05-01,2020,5,0,0,0,0,0,0
SC,GUARACIABA,2020-06-01,2020,6,0,0,0,0,0,0
